Dimension,Input,Implication
RTD frequency,Occasional,Do not position as a daily replacement for fresh coffee
Current preference,Fresh coffee preferred,"RTD needs a convenience-led job, not just taste parity"
Top purchase drivers,Convenience; late-night caffeine,Focus on a specific high-need occasion
Primary occasion,Late night,Study/work productivity is a strong context
Functional need,Stay focused while studying/working,A focus proposition is relevant
Preferred concept,Study / Work Focus Latte,Lead concept supported directionally
Personal preference,Study / Work Focus Latte,Supports lead concept directionally
Student viability,Study / Work Focus Latte,Supports lead concept directionally
Price range,₹50–70,Earlier ₹79–99 concept is too expensive; revise target or test pack/format
₹99 perception,Slightly expensive,Price is a key barrier
Trusted brand,Sleepy Owl,Brand fit is promising
Availability requirement,Easy availability on quick commerce,Distribution is critical
Rejection drivers,Too expensive; bad taste,Price and sensory experience are non-negotiable
