Brand,Product,Pack_ml,Observed_Price_INR,Positioning,Source,Checked_Date,Source_URL
Nescafe,Cafe Style Iced Latte,170,50,Mass,Blinkit,2026-09-03,https://blinkit.com/cn/cold-coffee/cid/332/412
Nescafe,Ready to Drink Iced Latte,180,41,Mass,Blinkit,2026-09-03,https://blinkit.com/prn/product/prid/309628
Nescafe,Choco Latte,200,75,Mass,Blinkit,2026-09-03,https://blinkit.com/cn/cold-coffee/cid/332/412
Nescafe,Caramel Latte,200,80,Mass,Blinkit,2026-09-03,https://blinkit.com/cn/cold-coffee/cid/332/412
Nescafe,Intense Cafe / Cappuccino,180,40,Mass,Blinkit,2026-09-03,https://blinkit.com/cn/cold-coffee/cid/332/412
BRU,Classic Cold Coffee,220,90,Mass,Blinkit,2026-09-03,https://blinkit.com/prn/product/prid/524660
BRU,Hazelnut Cold Coffee,230,90,Mass,Blinkit,2026-09-03,https://blinkit.com/prn/x/prid/524660
Cavin's,Choco Mocha Cold Coffee,170,53,Mass,Blinkit,2026-09-03,https://blinkit.com/cn/cold-coffee-ice-tea/cid/332/1953
Cavin's,Creamy Latte Cold Coffee,170,48,Mass,Blinkit,2026-09-03,https://blinkit.com/cn/cold-coffee-ice-tea/cid/332/1953
Cavin's,No Added Sugar Cold Coffee,170,56,Mass,Blinkit,2026-09-03,https://blinkit.com/prn/cavins-ready-to-drink-cold-coffee/prid/775054
Cavin's,Chilled Latte Cold Coffee,180,36,Mass,Blinkit,2026-09-03,https://blinkit.com/cn/cold-coffee-ice-tea/cid/332/1953
Amul,Kool Cafe Milk 'n' Coffee,200,35,Mass,Blinkit,2026-09-03,https://blinkit.com/cn/cold-coffee-ice-tea/cid/332/1953
Avvatar,Classic Cold Coffee,250,99,Functional/Protein,Blinkit,2026-09-03,https://blinkit.com/dc/drinks-juices/cold-coffee-ice-tea/
Avvatar,Vanilla Cold Coffee,250,99,Functional/Protein,Blinkit,2026-09-03,https://blinkit.com/dc/drinks-juices/cold-coffee-ice-tea/
Sleepy Owl,Classic Cold Coffee Can,230,99,Specialty,Blinkit,2026-09-03,https://blinkit.com/prn/sleepy-owl-classic-cold-coffee-can/prid/482839
Sleepy Owl,Hazelnut Cold Coffee Can,230,99,Specialty,Blinkit,2026-09-03,https://blinkit.com/prn/sleepy-owl-classic-cold-coffee-can/prid/482839
Sleepy Owl,French Vanilla Cold Coffee Can,230,99,Specialty,Blinkit,2026-09-03,https://blinkit.com/prn/sleepy-owl-classic-cold-coffee-can/prid/482839
Sleepy Owl,Black Cold Brew Coffee,230,129,Specialty,Blinkit,2026-09-03,https://blinkit.com/dc/drinks-juices/cold-coffee-ice-tea/
Blue Tokai,Classic Cold Coffee,220,139,Specialty,Blinkit,2026-09-03,https://blinkit.com/prn/blue-tokai-classic-cold-coffee/prid/553817
Blue Tokai,Classic Iced Latte Cold Coffee,220,139,Specialty,Blinkit,2026-09-03,https://blinkit.com/prn/blue-tokai-classic-iced-latte-cold-coffee/prid/520591
